,len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
5791,26,2,0,0,1,0,25,3,0,0,11,7.666666667,0,0,0,0,0,0,0,0,0,0,197,43,515,94110,http://driftinside.wordpress.com/,0
5792,36,3,0,0,5,1,17,3,1,0,9,5,3,3,0,14,1,0,0,0,0,0,40,8,41,-1,http://www.scitycafe.com/qwe/myonportal.php,1
5794,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,243,9,86,10036,http://www.morganstanley.com/,0
5795,16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,199,5,260,-1,http://www.jolivin.com/,0
5797,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,244,20,1258,-1,http://www.sonnybryans.com/,0
5798,25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,178,14,470,-1,http://www.farrisandfosters.com/,0
5800,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,120,0,355,-1,http://www.afsfashion.com/,0
5801,18,1,0,0,1,0,17,2,0,0,13,8,0,0,0,0,0,0,0,0,0,0,171,69,1243,110002,http://indianexpress.com/,0
5804,29,3,0,0,7,1,22,4,1,0,8,4.75,5,5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://etext.lib.virginia.edu/bsuva/,0
5805,29,3,0,1,1,0,28,4,0,0,18,6.25,0,0,0,0,0,0,0,0,0,0,205,11,408,-1,http://www.manchestercity-mad.co.uk/,0
5806,27,2,0,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,231,69,247,-1,http://www.yourbestimpression.com/,0
5807,19,2,1,0,1,0,18,3,0,0,11,5.333333333,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,51149,http://www.linuxsecure.de/,0
5809,30,2,0,0,11,1,19,3,1,0,11,5.666666667,9,9,0,0,0,0,0,0,0,0,226,2,431,75,http://www.football365.com/liverpool/,0
5810,27,5,0,0,1,0,26,6,0,0,6,3.5,0,0,0,0,0,0,0,0,0,0,226,14,8,85016,http://hiroba.dqx.jp.isuel.usa.cc/,1
5811,66,4,0,0,26,3,13,2,3,0,9,6,8,7.333333333,0,27,3,0,0,0,0,0,159,9,191,-1,http://edconline.net/wp-admin/images/document/4d7d17cbadc36ea38d952337...,1
5812,56,9,1,0,17,3,26,6,3,0,6,3.5,7,4.333333333,0,13,4,0,0,0,0,0,226,14,213,-1,http://hiroba.dqx.jp.ioxzl.usa.cc/account/app/svc/login.html...,1
5813,17,2,0,1,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,229,35,2271,-1,http://www.prep-pub.com/,0
5814,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,155,73,486,-1,http://www.schoolsindia.com/,0
5816,17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,217,11,52,81321,http://www.encantos.com/,0
5817,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,185,7,163,80524,http://www.theteatable.com/,0
5819,29,2,0,0,1,0,28,3,0,0,20,8.666666667,0,0,0,0,0,0,0,0,0,0,227,1,89,-1,http://www.counterculturecoffee.com/,0
5820,66,5,1,1,35,3,15,2,3,0,11,7,13,10.33333333,0,16,4,0,0,0,0,0,17,7,59,119622,http://gaspra-life.com/administrator/manifests/libraries/secure.itunes...,1
5821,66,6,0,1,24,3,25,3,3,0,18,7.666666667,10,6.666666667,0,17,3,0,0,0,0,0,-1,-1,-1,-1,http://www.stampile-constanta.ro/downloader/.cache/home/9c4a4ee316c009...,1
5822,66,7,0,0,26,2,21,3,2,0,14,6.333333333,14,11.5,0,19,3,0,0,0,0,0,25,-1,10,-1,http://legaldownloads.org.uk/mobile.free.fr/moncompte/2d75d4e88c53f174...,1
5823,17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,36,12,11,40124,http://www.elmonkey.com/,1
5824,32,2,0,0,1,0,31,3,0,0,23,9.666666667,0,0,0,0,0,0,0,0,0,0,13,11,38,-1,http://www.dieseltrucksincharlotte.com/,1
5825,19,2,0,1,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,163,5,948,310000,http://www.trust-chem.com/,0
5826,43,6,0,0,19,2,10,3,2,0,3,2.666666667,8,8,0,14,4,0,0,0,0,0,-1,7,156,10257,http://www.s1w.co/wp-admin/uploader/indexx.html...,1
5827,30,4,0,0,1,0,22,4,0,0,7,4.75,0,0,0,7,1,0,0,0,0,0,-1,-1,-1,-1,http://front.math.ucdavis.edu/math.PR,0
5828,66,7,1,0,24,2,19,3,2,0,12,5.666666667,17,10.5,0,23,3,0,0,0,0,0,-1,3,-1,-1,http://los4acuerdos.com.mx/SEMS/new.admin.account/fcb3ac36d42bb3f02ca8...,1
5829,14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,246,54,238,32258,http://www.jstor.org/,0
5830,56,6,0,0,24,2,20,3,2,0,12,6,16,10.5,0,12,4,0,0,0,0,0,58,2,261,-1,http://www.colorchiapas.com/wellsfargoonline/index/index.php...,1
5832,14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,199,5,372,-1,http://www.mssrc.com/,0
5833,23,1,0,0,11,1,12,2,1,0,8,5.5,9,9,0,0,0,0,0,0,0,0,3,9,83,-1,http://fasonery.net/machine17/,1
5834,60,8,1,0,17,3,30,5,3,0,9,5.2,7,4.333333333,0,13,4,0,0,0,0,0,226,14,8,85016,http://secure.square.loginvdqx.usa.cc/account/app/svc/login.html...,1
5835,17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,278,10,63,48326,http://www.chrysler.com/,0
5836,26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,228,12,1750,-1,http://www.touringandtasting.com/,0
5837,13,2,0,0,1,0,12,3,0,0,5,3.333333333,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.amlib.ch/,0
5838,46,3,0,0,18,2,13,3,2,0,5,3.666666667,12,7.5,0,15,1,1,0,0,0,0,257,7,190,631,http://www.topix.com/rss/world-soccer/real-madrid.xml,0
5839,21,2,0,1,1,0,20,3,0,0,14,6,0,0,0,0,0,0,0,0,0,0,184,8,134,-1,http://duncan-edwards.co.uk/,0
5840,66,6,0,0,13,2,19,4,2,0,9,4,6,5,0,34,3,0,0,0,0,0,-1,-1,-1,-1,http://www.nichuizen.co.za/errors/sess/6fcfacd7fd49c8a1f87e038ec779024...,1
5841,29,2,0,0,1,0,28,3,0,0,20,8.666666667,0,0,0,0,0,0,0,0,0,0,200,4,676,-1,http://www.searchengineshowdown.com/,0
5842,18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,183,9,1,-1,http://www.kyelateas.com/,0
5844,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,142,2,676,-1,http://www.femcareworld.com/,0
5847,65,5,0,0,40,2,22,3,2,0,12,6.666666667,32,18.5,0,3,3,0,0,0,0,0,58,14,-1,-1,http://paypalresolu.myjino.ru/payus/e86df8849ad734742f38633345d2bd7f/...,1
5849,42,5,0,0,8,1,27,3,1,0,20,8.333333333,6,6,0,7,3,0,0,0,0,0,-1,-1,-1,-1,http://evangelistaadvogados.com.br/deiswe/dpbx...,1
5850,66,5,0,0,1,0,16,3,0,0,9,4.666666667,0,0,0,49,3,0,0,0,0,0,9,2,-1,-1,http://www.tfonbaron.ru/CIBCOnline%20olbtxn%20Authentication%20SignOn%...,1
5851,52,5,0,0,27,3,13,2,3,0,9,6,11,7.666666667,0,12,4,0,0,0,0,0,114,6,144,110005,http://tentmahal.com/wp-includes/pomo/proposal/index.php...,1
5853,47,7,0,0,27,2,17,3,2,0,9,5,12,12,0,3,3,0,0,0,0,0,13,11,43,-1,http://www.greenaura.net/appz.westpac/westpac.appz/...,1
5854,52,3,0,0,30,4,11,3,4,0,3,3,8,6.25,0,11,1,0,0,0,0,0,-1,-1,-1,-1,http://www.mcm.edu/academic/galileo/ars/arshtml/arstoc.html,0
5855,45,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,23,0,1,0,0,0,0,187,77,245,94105,http://en.wikipedia.org/wiki/Interactive_computation,0
5856,21,2,0,1,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,131,13,767,-1,http://www.crystal-sets.com/,0
5857,66,5,0,0,15,3,27,3,3,0,19,8.333333333,5,3.666666667,0,24,3,0,0,0,0,0,60,0,753,60586,http://www.plainfieldriverdays.com/js/ajax/bobbu/5bbb91180dc0937f999da...,1
5858,58,5,0,0,15,2,31,2,2,0,27,15,8,6,0,12,4,0,0,0,0,0,25,11,22,-1,http://autoservicioslubrirepuestos.com/wp-admin/west/index.htm...,1
5859,32,2,0,0,7,1,23,3,1,0,15,7,5,5,0,2,0,0,0,0,0,0,26,10,74,-1,http://www.ashuliaapparels.com/Nyben/ec,1
5860,26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,202,50,373,-1,http://www.groundsforthought.com/,0
5861,66,4,0,0,54,1,8,2,1,0,5,3.5,52,52,0,4,3,0,0,0,0,0,29,7,-1,-1,http://luv56.ru/CIBCOnline%20olbtxn%20Authentication%20SignOn%20cibc/i...,1
5862,27,5,0,0,1,0,26,6,0,0,6,3.5,0,0,0,0,0,0,0,0,0,0,226,14,213,-1,http://hiroba.dqx.jp.icuxl.usa.cc/,1
5863,66,7,1,0,37,5,7,2,5,0,4,3,10,6.2,0,9,1,0,13,1,5,0,-1,-1,-1,-1,http://osot.pl/php/css/alert/amazon.com/amazon.com/login.php?action=bi...,1
5864,29,1,0,0,19,3,10,2,3,0,6,4.5,6,5,0,0,0,0,0,0,0,0,37,11,23,21330300,http://prodep.org/server/orgg/bidtx/,1
5865,66,7,1,0,3,1,19,2,1,0,15,9,1,1,0,44,6,0,0,0,0,0,41,43,614,-1,http://phalconwellness.com/2/online.wellsfargo.secure.userrstore894398...,1
5866,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,136,8,114,11030,http://www.youngswines.com/,0
5867,16,1,0,0,1,0,15,2,0,0,11,7,0,0,0,0,0,0,0,0,0,0,12,48,374,-1,https://awcfinewine.com/,0
5868,32,3,0,0,1,0,20,3,0,0,8,6,0,0,0,11,1,0,0,0,0,0,27,8,143,-1,http://bytheway.coxslot.com/forpage.php,1
5869,66,4,0,0,23,3,11,2,3,0,8,5,11,6.333333333,0,32,3,0,0,0,0,0,-1,-1,-1,-1,http://corebeat.es/wp-includes/css/flame/7a1b16c4d315d76817954b0efdb62...,1
5871,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,160,8,106,-1,http://www.thewinebuyer.com/,0
5872,34,3,0,1,1,0,19,3,0,0,11,5.666666667,0,0,0,14,1,0,0,0,0,0,197,3,305,-1,http://www.shaga-group.com/shaga2000.html,0
5873,30,4,0,0,7,1,14,4,1,0,4,2.75,5,5,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://www.kasp.pp.ua/corex/Logon.htm,1
5874,36,1,0,1,12,2,22,2,2,0,18,10.5,5,4.5,0,2,0,0,0,0,0,0,9,15,285,54200,http://gotmilkpharmacy-cc.com/admin/gdoc/es,1
5875,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,172,92,592,-1,http://www.theperfumespot.com/,0
5876,29,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,15,0,0,0,0,0,0,7,5,199,-1,http://www.au699.com/londonfinancial,1
5877,32,2,0,0,1,0,31,3,0,0,23,9.666666667,0,0,0,0,0,0,0,0,0,0,172,8,162,-1,http://www.jfrancisantiquefirearms.com/,0
5878,20,1,0,0,1,0,19,2,0,0,15,9,0,0,0,0,0,0,0,0,0,0,48,72,1412,12,http://wellcomelibrary.org/,0
5879,66,5,0,0,12,2,20,2,2,0,17,9.5,7,4.5,0,9,1,0,25,1,19,0,-1,-1,-1,-1,http://interfacemedicare.ma/modules/01/index.php?rand=13InboxLightaspx...,1
5880,59,3,0,0,43,6,16,4,6,0,5,3.25,12,6,0,0,0,0,0,0,0,0,-1,7,-1,110002,http://www.delhi.gov.in/wps/wcm/connect/doit_dcnorth/dcnorth/Home/,0
5881,18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,77,7,146,-1,http://www.mcfcforum.com/,0
5882,57,5,0,0,16,2,38,3,2,0,20,12,8,6.5,0,3,3,0,0,0,0,0,137,19,193,-1,https://bbrasilclientescadas.websiteseguro.com/segbb/Operador/...,1
5883,20,2,0,0,1,0,19,3,0,0,12,5.666666667,0,0,0,0,0,0,0,0,0,0,45,3,-1,-1,http://www.darwinmuseum.ru/,0
5884,66,5,0,0,21,3,17,3,3,0,10,5,12,5.666666667,0,28,3,0,0,0,0,0,-1,-1,-1,-1,http://www.vajinismus.eu/pps/SPERROW%20PY/PY/01e537c0a55075c0044ca9ac5...,1
5885,56,5,0,0,29,1,24,3,1,0,17,7.333333333,27,27,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://ambcleanambiental.com.br/wwalmmsndersbbasnerdsmmlerd/...,1
5886,66,6,0,0,32,5,14,4,5,0,3,2.75,10,5.2,0,20,1,1,0,0,0,0,-1,-1,-1,-1,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/mleone/web/language-people.html,0
5888,25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,250,2,3618,908084111,http://www.butterfieldfarms.com/,0
5889,66,4,0,0,19,2,22,2,2,0,18,10.5,9,8,0,25,3,0,0,0,0,0,26,10,454,-1,http://indianfriedchicken.net/managment/pagedoc/9c81f21d74add724d33596...,1
5890,43,7,0,0,7,2,22,4,2,0,12,4.75,3,2,0,14,4,0,0,0,0,0,-1,-1,-1,-1,http://www.bluestonesmb.co.za/hox/2/really2.php...,1
5891,55,6,0,0,22,4,18,3,4,0,10,5.333333333,6,4.25,0,15,4,0,0,0,0,0,4,8,130,-1,http://www.bartoolscn.com/yekeee/file/files/db/file.dropbox...,1
5892,16,2,0,0,1,0,15,3,0,0,8,4.333333333,0,0,0,0,0,0,0,0,0,0,172,20,122,-1,http://www.crystals.us/,0
5893,38,2,0,0,17,2,15,2,2,0,11,7,8,7,0,6,1,0,0,0,0,0,18,29,563,-1,http://artebinaria.com/ldomes/bookmark/ii.php,1
5894,66,4,0,0,18,1,19,2,1,0,15,9,16,16,0,29,3,0,0,0,0,0,-1,-1,-1,-1,http://awuziestmatthew.org/lat-lk-yh-9-6-16/1464499151f2ZcYpD1KBRobaHX...,1
5895,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,235,5,231,62701,http://www.thecorkscrew.com/,0
5896,26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,34,2,264,38865,http://www.dessertcafeonline.com/,0
5897,36,3,1,0,16,1,11,2,1,0,7,5,14,14,0,9,1,0,0,0,0,0,3,9,67,84332,http://csprico.net/Online.Service/login.php,1
5898,66,4,0,0,43,3,13,2,3,0,9,6,33,13,0,0,0,0,10,1,0,0,52,8,118,-1,http://aridfoods.com/V4/MGen/F1b354462a8e203006ba11a7d72144584/?dispat...,1
5900,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,190,86,126,-1,http://www.netcoffees.net/,0
5901,28,2,0,0,1,0,27,3,0,0,19,8.333333333,0,0,0,0,0,0,0,0,0,0,148,32,60,-1,http://www.federalresumewriter.com/,0
5902,66,6,0,0,20,1,18,3,1,0,10,5.333333333,18,18,0,12,1,0,16,2,0,0,51,9,97,26007,http://www.quonmaster.com/wquyi3ndfloosad998/cofirmuk.php?personal-uk&...,1
5903,15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,234,6,70,-1,http://www.eenadu.net/,0
5904,50,4,0,0,33,4,14,2,4,0,11,6.5,7,7,0,3,3,0,0,0,0,0,-1,9,-1,-1,http://kucnitrener.rs/Dropbox/dropbox/dropbox/dropbox/...,1
5905,29,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,7,0,0,0,0,0,0,187,77,245,94105,http://en.wikipedia.org/wiki/Anfield,0
5906,14,2,0,0,1,0,13,3,0,0,6,3.666666667,0,0,0,0,0,0,0,0,0,0,-1,9,-1,110001,http://www.cgewho.in/,0
5907,44,3,0,0,22,3,13,4,3,0,3,2.5,8,6,0,9,0,0,0,0,0,0,-1,-1,-1,-1,http://www.bbc.co.uk/sport/football/teams/liverpool,0
5908,17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,136,68,561,400013,http://www.dnaindia.com/,0
5909,23,2,0,0,5,1,18,3,1,0,10,5.333333333,3,3,0,0,0,0,0,0,0,0,170,46,125,-1,http://www.genesifter.net/web/,0
5910,59,6,0,0,26,2,21,3,2,0,14,6.333333333,16,11.5,0,12,4,0,0,0,0,0,-1,0,-1,-1,http://www.autokinoitalia.it/olllaaaaaaaaaaaa/dropbox/index.php...,1
5911,66,7,0,0,30,3,17,2,3,0,13,8,16,8.666666667,0,19,3,2,0,0,0,0,14,-2,24,98004,http://villastardusk.com/wp-admin/ru/www.paypaI.co.uk/webapps-mpp-home...,1
5912,38,3,0,0,15,2,11,3,2,0,3,3,6,6,0,12,1,0,0,0,0,0,277,95,436,-1,http://www.fao.org/DOCREP/x0188e/x0188e00.htm,0
5913,65,6,1,0,15,2,13,2,2,0,9,6,10,6,0,9,1,0,28,1,21,0,74,10,75,16,http://almadover.com/zz/logsession/login.php?email=abuse@sinamail.com...,1
5914,66,6,0,0,21,3,19,3,3,0,12,5.666666667,7,5.666666667,0,26,3,0,0,0,0,0,-1,-1,-1,-1,http://www.creditaccess.ci/images/.tmb/pagedoc/54cbd0dbd8195bbe4408abb...,1
5915,25,2,0,1,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,199,5,207,-1,http://www.history-timeline.com/,0
5916,24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,182,10,60,-1,http://www.indiatodaygroup.com/,0
5917,16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,203,1,6166,32258,http://www.winetip.com/,0
5918,50,7,1,0,12,1,26,4,1,0,15,5.75,10,10,0,12,4,0,0,0,0,0,-1,-1,-1,-1,http://www.hungrywednesday.com.au/wellsfargo/login.htm...,1
5919,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,195,105,160,-1,http://www.shizuokatea.com/,0
5920,40,3,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,26,1,2,0,0,0,0,209,19,333,17325,http://www.saliu.com/theory-of-probability.html,0
5921,66,6,0,0,41,3,15,4,3,1,3,3,32,12.33333333,0,0,0,0,10,1,0,0,-1,-1,-1,-1,http://198.154.106.206/~asd/2/8925e4abd88602f88acaace46ebe58d8/?dispat...,1
5922,65,5,0,0,14,2,17,2,2,0,13,8,7,5.5,0,34,4,1,0,0,0,0,14,10,341,-1,https://trademediator.com/usaaone/usaa/Enter%20Your%20PIN%20_%20USAA.h...,1
5923,31,4,1,0,1,0,30,5,0,0,9,5.2,0,0,0,0,0,0,0,0,0,0,226,14,8,85016,http://secure.square.loginvdqx.usa.cc/,1
5924,33,3,0,0,9,2,16,3,2,0,9,4.666666667,3,3,0,8,1,0,0,0,0,0,-1,1,-1,600042,http://www.truejeans.in/css/yoh/sam.html,1
5925,66,6,0,0,20,3,23,4,3,0,13,5,7,5.333333333,0,23,3,0,0,0,0,0,57,15,284,-1,http://www.newvanleasing.co.uk/docsss/mgs/docsign/6dbf383aeccc8bc1829b...,1
5926,23,3,0,0,1,0,22,4,0,0,12,4.75,0,0,0,0,0,0,0,0,0,0,187,5,220,-1,http://www.liverpoolway.co.uk/,0
5927,48,6,1,0,13,2,21,3,2,0,13,6.333333333,8,5,0,14,4,0,0,0,0,0,15,9,90,-1,http://www.a2zsolutionbs.com/js/kseythrd/verify.html...,1
5928,53,5,0,0,30,4,20,3,4,0,13,6,7,6.25,0,3,3,0,0,0,0,0,-1,-1,-1,-1,https://www.cardsolutions.eu/plugins/slimdoc/muyidoc/gtex/...,1
